,time / s,ch4 / ppm,v0 / volts,v1 / volts,v2 / volts,bg v0 / volts,bg v1 / volts,bg v2 / volts
0,0,0,-0.030242413793103447,0.017363103448275862,0.0013721034482758621,-0.030242413793103447,0.017363103448275862,0.017363103448275862
1,9600,5000,-0.11449655172413792,0.008590620689655172,-0.006140758620689654,-0.030242413793103447,0.017363103448275862,0.017363103448275862
2,11400,4500,-0.11433103448275862,0.008555344827586207,-0.00516548275862069,-0.030242413793103447,0.017363103448275862,0.017363103448275862
3,13200,4000,-0.11270344827586203,0.008608724137931033,-0.004096206896551724,-0.030242413793103447,0.017363103448275862,0.017363103448275862
4,15000,3500,-0.11091034482758622,0.008672034482758622,-0.0029936896551724136,-0.030242413793103447,0.017363103448275862,0.017363103448275862
5,16800,3000,-0.10888620689655175,0.00879796551724138,-0.0019152413793103445,-0.030242413793103447,0.017363103448275862,0.017363103448275862
6,18600,2500,-0.10648275862068966,0.009096137931034481,-0.0008635310344827585,-0.030242413793103447,0.017363103448275862,0.017363103448275862
7,20400,2000,-0.10361034482758621,0.009548275862068965,-4.649720689655174e-05,-0.030242413793103447,0.017363103448275862,0.017363103448275862
8,22200,1500,-0.09992206896551724,0.010197931034482759,0.0009040344827586207,-0.030242413793103447,0.017363103448275862,0.017363103448275862
9,24000,1000,-0.09473413793103447,0.011480344827586204,0.0013773448275862068,-0.030242413793103447,0.017363103448275862,0.017363103448275862
10,25800,675,-0.0916255172413793,0.012348965517241375,0.001688793103448276,-0.030242413793103447,0.017363103448275862,0.017363103448275862
11,27600,650,-0.0903351724137931,0.01237793103448276,0.0016636206896551724,-0.030242413793103447,0.017363103448275862,0.017363103448275862
12,29400,600,-0.08899379310344827,0.012662413793103448,0.0015904137931034479,-0.030242413793103447,0.017363103448275862,0.017363103448275862
13,31200,550,-0.08777379310344827,0.01286206896551724,0.0015892068965517243,-0.030242413793103447,0.017363103448275862,0.017363103448275862
14,33000,500,-0.08639448275862069,0.013226896551724137,0.0015092413793103446,-0.030242413793103447,0.017363103448275862,0.017363103448275862
15,34800,450,-0.08508999999999997,0.0134151724137931,0.0014580344827586208,-0.030242413793103447,0.017363103448275862,0.017363103448275862
16,36600,400,-0.08357551724137932,0.013736896551724139,0.00143,-0.030242413793103447,0.017363103448275862,0.017363103448275862
17,38400,350,-0.08187551724137931,0.014189655172413792,0.001330793103448276,-0.030242413793103447,0.017363103448275862,0.017363103448275862
18,40200,300,-0.0799796551724138,0.01448448275862069,0.001275448275862069,-0.030242413793103447,0.017363103448275862,0.017363103448275862
19,42000,250,-0.08029,0.01437,0.0012517241379310345,-0.030242413793103447,0.017363103448275862,0.017363103448275862
20,43800,220,-0.07873827586206897,0.014656206896551723,0.0011519655172413793,-0.030242413793103447,0.017363103448275862,0.017363103448275862
21,45600,200,-0.07758275862068967,0.014989999999999998,0.0009650896551724137,-0.030242413793103447,0.017363103448275862,0.017363103448275862
22,47400,180,-0.07617689655172413,0.015226551724137933,0.0008836758620689655,-0.030242413793103447,0.017363103448275862,0.017363103448275862
23,49200,160,-0.07473448275862069,0.015519655172413792,0.000789496551724138,-0.030242413793103447,0.017363103448275862,0.017363103448275862
24,51000,140,-0.07293,0.015761724137931036,0.0007148344827586206,-0.030242413793103447,0.017363103448275862,0.017363103448275862
25,52800,120,-0.07098931034482758,0.016065862068965518,0.0005893793103448276,-0.030242413793103447,0.017363103448275862,0.017363103448275862
26,54600,100,-0.06868655172413793,0.016415172413793103,0.00041733103448275867,-0.030242413793103447,0.017363103448275862,0.017363103448275862
27,56400,80,-0.06576379310344828,0.016753103448275863,0.00031207931034482763,-0.030242413793103447,0.017363103448275862,0.017363103448275862
28,58200,60,-0.06197896551724138,0.017204482758620687,7.640196551724138e-05,-0.030242413793103447,0.017363103448275862,0.017363103448275862
29,60000,50,-0.05954379310344827,0.017326896551724136,4.1970448275862075e-05,-0.030242413793103447,0.017363103448275862,0.017363103448275862
30,61800,40,-0.05685517241379311,0.017401379310344828,5.679679310344826e-05,-0.030242413793103447,0.017363103448275862,0.017363103448275862
31,62700,0,-0.02813655172413793,0.018223103448275865,-0.00012053344827586207,-0.02813655172413793,0.018223103448275865,0.018223103448275865
32,69900,4296,-0.11097586206896554,0.009120620689655173,-0.005875586206896552,-0.02813655172413793,0.018223103448275865,0.018223103448275865
33,71700,3738,-0.11061724137931032,0.009061724137931035,-0.004626586206896551,-0.02813655172413793,0.018223103448275865,0.018223103448275865
34,73500,2209,-0.10437931034482759,0.009724034482758622,-0.001407758620689655,-0.02813655172413793,0.018223103448275865,0.018223103448275865
35,75300,4266,-0.11202068965517242,0.009039275862068966,-0.00574548275862069,-0.02813655172413793,0.018223103448275865,0.018223103448275865
36,77100,3221,-0.1085310344827586,0.009204068965517242,-0.0035102413793103443,-0.02813655172413793,0.018223103448275865,0.018223103448275865
37,78900,4231,-0.11143103448275864,0.008962241379310343,-0.005610448275862067,-0.02813655172413793,0.018223103448275865,0.018223103448275865
38,80700,1485,-0.09879379310344827,0.010532068965517243,-0.00015828103448275863,-0.02813655172413793,0.018223103448275865,0.018223103448275865
39,82500,4004,-0.11028275862068965,0.009013379310344828,-0.00515644827586207,-0.02813655172413793,0.018223103448275865,0.018223103448275865
40,84300,571,-0.0890193103448276,0.013014137931034484,0.0006985999999999999,-0.02813655172413793,0.018223103448275865,0.018223103448275865
41,86100,564,-0.08747724137931037,0.013095172413793103,0.0005007896551724138,-0.02813655172413793,0.018223103448275865,0.018223103448275865
